invoice_id,branch,city,Customer_type,Gender,Unit_Price,Product_line,Quantity,VAT,total,Date,Time,payment_method,Cogs,Gross_margin_percentage,Gross_income,Rating,time_of_day,Day,Month,Day_type
110-48-7033,B,Mandalay,Member,Male,32.62,"Fashion accessories",4,6.5240,137.0040,"2019-01-29 00:00:00",14:12:00,Cash,130.480,4.761904716,6.5240,9.0,Afternoon,Tuesday,January,Weekday
114-35-5271,B,Mandalay,Normal,Female,57.91,"Electronic accessories",8,23.1640,486.4440,"2019-02-07 00:00:00",15:06:00,Cash,463.280,4.761904716,23.1640,8.1,Afternoon,Thursday,February,Weekday
115-38-7388,C,Naypyitaw,Member,Female,10.18,"Fashion accessories",8,4.0720,85.5120,"2019-03-30 00:00:00",12:51:00,"Credit card",81.440,4.761904716,4.0720,9.5,Afternoon,Saturday,March,Weekend
115-99-4379,B,Mandalay,Member,Female,54.73,"Fashion accessories",7,19.1555,402.2655,"2019-03-14 00:00:00",19:02:00,"Credit card",383.110,4.761904716,19.1555,8.5,Evening,Thursday,March,Weekday
118-62-1812,C,Naypyitaw,Member,Female,78.38,"Home and lifestyle",4,15.6760,329.1960,"2019-03-24 00:00:00",17:56:00,Cash,313.520,4.761904716,15.6760,7.9,Evening,Sunday,March,Weekend
120-06-4233,C,Naypyitaw,Normal,Male,30.61,"Electronic accessories",6,9.1830,192.8430,"2019-03-12 00:00:00",20:36:00,Cash,183.660,4.761904716,9.1830,9.3,Evening,Tuesday,March,Weekday
120-54-2248,B,Mandalay,Normal,Female,28.86,"Food and beverages",5,7.2150,151.5150,"2019-01-22 00:00:00",18:08:00,"Credit card",144.300,4.761904716,7.2150,8.0,Evening,Tuesday,January,Weekday
122-61-9553,C,Naypyitaw,Normal,Female,51.32,"Electronic accessories",9,23.0940,484.9740,"2019-03-14 00:00:00",19:33:00,Cash,461.880,4.761904716,23.0940,5.6,Evening,Thursday,March,Weekday
123-19-1176,A,Yangon,Member,Male,58.22,"Health and beauty",8,23.2880,489.0480,"2019-01-27 00:00:00",20:33:00,Ewallet,465.760,4.761904716,23.2880,8.4,Evening,Sunday,January,Weekend
123-35-4896,C,Naypyitaw,Normal,Female,46.66,"Sports and travel",9,20.9970,440.9370,"2019-02-17 00:00:00",19:11:00,Ewallet,419.940,4.761904716,20.9970,5.3,Evening,Sunday,February,Weekend
124-31-1458,A,Yangon,Member,Female,79.59,"Electronic accessories",3,11.9385,250.7085,"2019-01-08 00:00:00",14:30:00,Cash,238.770,4.761904716,11.9385,6.6,Afternoon,Tuesday,January,Weekday
125-45-2293,A,Yangon,Normal,Female,99.10,"Fashion accessories",6,29.7300,624.3300,"2019-01-19 00:00:00",13:11:00,Cash,594.600,4.761904716,29.7300,4.2,Afternoon,Saturday,January,Weekend
126-54-1082,A,Yangon,Member,Female,21.54,"Home and lifestyle",9,9.6930,203.5530,"2019-01-07 00:00:00",11:44:00,"Credit card",193.860,4.761904716,9.6930,8.8,Morning,Monday,January,Weekday
127-47-6963,A,Yangon,Normal,Male,51.71,"Health and beauty",4,10.3420,217.1820,"2019-03-09 00:00:00",13:53:00,"Credit card",206.840,4.761904716,10.3420,9.8,Afternoon,Saturday,March,Weekend
129-29-8530,A,Yangon,Member,Male,62.62,"Sports and travel",5,15.6550,328.7550,"2019-03-10 00:00:00",19:15:00,Ewallet,313.100,4.761904716,15.6550,7.0,Evening,Sunday,March,Weekend
130-67-4723,A,Yangon,Member,Male,48.50,"Food and beverages",6,14.5500,305.5500,"2019-01-11 00:00:00",13:57:00,Ewallet,291.000,4.761904716,14.5500,9.4,Afternoon,Friday,January,Weekday
130-98-8941,C,Naypyitaw,Normal,Male,64.26,"Fashion accessories",7,22.4910,472.3110,"2019-02-09 00:00:00",10:00:00,Cash,449.820,4.761904716,22.4910,5.7,Morning,Saturday,February,Weekend
131-15-8856,C,Naypyitaw,Member,Female,72.52,"Food and beverages",8,29.0080,609.1680,"2019-03-30 00:00:00",19:26:00,"Credit card",580.160,4.761904716,29.0080,4.0,Evening,Saturday,March,Weekend
131-70-8179,A,Yangon,Member,Female,92.09,"Health and beauty",3,13.8135,290.0835,"2019-02-17 00:00:00",16:27:00,Cash,276.270,4.761904716,13.8135,4.2,Evening,Sunday,February,Weekend
132-23-6451,A,Yangon,Member,Male,20.97,"Health and beauty",5,5.2425,110.0925,"2019-01-04 00:00:00",13:21:00,Cash,104.850,4.761904716,5.2425,7.8,Afternoon,Friday,January,Weekday
132-32-9879,B,Mandalay,Member,Female,93.96,"Electronic accessories",4,18.7920,394.6320,"2019-03-09 00:00:00",18:00:00,Cash,375.840,4.761904716,18.7920,9.5,Evening,Saturday,March,Weekend
133-14-7229,C,Naypyitaw,Normal,Male,62.87,"Health and beauty",2,6.2870,132.0270,"2019-01-01 00:00:00",11:43:00,Cash,125.740,4.761904716,6.2870,5.0,Morning,Tuesday,January,Weekday
133-77-3154,B,Mandalay,Member,Male,60.18,"Fashion accessories",4,12.0360,252.7560,"2019-02-16 00:00:00",18:04:00,"Credit card",240.720,4.761904716,12.0360,9.4,Evening,Saturday,February,Weekend
134-54-4720,B,Mandalay,Normal,Female,42.42,"Electronic accessories",8,16.9680,356.3280,"2019-01-30 00:00:00",13:58:00,Ewallet,339.360,4.761904716,16.9680,5.7,Afternoon,Wednesday,January,Weekday
134-75-2619,A,Yangon,Member,Male,19.32,"Electronic accessories",7,6.7620,142.0020,"2019-03-25 00:00:00",18:51:00,Cash,135.240,4.761904716,6.7620,6.9,Evening,Monday,March,Weekday
135-13-8269,B,Mandalay,Member,Female,78.88,"Food and beverages",2,7.8880,165.6480,"2019-01-26 00:00:00",16:04:00,Cash,157.760,4.761904716,7.8880,9.1,Evening,Saturday,January,Weekend
135-84-8019,A,Yangon,Normal,Female,77.93,"Fashion accessories",9,35.0685,736.4385,"2019-02-27 00:00:00",16:10:00,Ewallet,701.370,4.761904716,35.0685,7.6,Evening,Wednesday,February,Weekday
136-08-6195,A,Yangon,Normal,Female,69.96,"Home and lifestyle",8,27.9840,587.6640,"2019-02-15 00:00:00",17:01:00,"Credit card",559.680,4.761904716,27.9840,6.4,Evening,Friday,February,Weekday
137-63-5492,C,Naypyitaw,Normal,Male,58.76,"Electronic accessories",10,29.3800,616.9800,"2019-01-29 00:00:00",14:26:00,Ewallet,587.600,4.761904716,29.3800,9.0,Afternoon,Tuesday,January,Weekday
137-74-8729,C,Naypyitaw,Normal,Female,12.19,"Fashion accessories",8,4.8760,102.3960,"2019-03-13 00:00:00",12:47:00,Ewallet,97.520,4.761904716,4.8760,6.8,Afternoon,Wednesday,March,Weekday
138-17-5109,A,Yangon,Member,Female,89.21,"Home and lifestyle",9,40.1445,843.0345,"2019-01-15 00:00:00",15:42:00,"Credit card",802.890,4.761904716,40.1445,6.5,Afternoon,Tuesday,January,Weekday
139-20-0155,B,Mandalay,Member,Male,40.30,"Electronic accessories",10,20.1500,423.1500,"2019-01-24 00:00:00",17:37:00,"Credit card",403.000,4.761904716,20.1500,7.0,Evening,Thursday,January,Weekday
139-32-4183,A,Yangon,Member,Female,97.48,"Sports and travel",9,43.8660,921.1860,"2019-03-14 00:00:00",14:19:00,Ewallet,877.320,4.761904716,43.8660,7.4,Afternoon,Thursday,March,Weekday
139-52-2867,C,Naypyitaw,Normal,Female,22.51,"Fashion accessories",7,7.8785,165.4485,"2019-02-13 00:00:00",10:50:00,"Credit card",157.570,4.761904716,7.8785,4.8,Morning,Wednesday,February,Weekday
142-63-6033,B,Mandalay,Normal,Male,92.36,"Home and lifestyle",5,23.0900,484.8900,"2019-03-20 00:00:00",19:17:00,Ewallet,461.800,4.761904716,23.0900,4.9,Evening,Wednesday,March,Weekday
142-72-4741,C,Naypyitaw,Member,Male,93.20,"Fashion accessories",2,9.3200,195.7200,"2019-02-28 00:00:00",18:37:00,"Credit card",186.400,4.761904716,9.3200,6.0,Evening,Thursday,February,Weekday
144-51-6085,A,Yangon,Member,Male,70.74,"Home and lifestyle",4,14.1480,297.1080,"2019-01-05 00:00:00",16:05:00,"Credit card",282.960,4.761904716,14.1480,4.4,Evening,Saturday,January,Weekend
145-94-9061,B,Mandalay,Normal,Female,88.36,"Food and beverages",5,22.0900,463.8900,"2019-01-25 00:00:00",19:48:00,Cash,441.800,4.761904716,22.0900,9.6,Evening,Friday,January,Weekday
146-09-5432,A,Yangon,Member,Male,35.04,"Food and beverages",9,15.7680,331.1280,"2019-02-09 00:00:00",19:17:00,Ewallet,315.360,4.761904716,15.7680,4.6,Evening,Saturday,February,Weekend
148-41-7930,C,Naypyitaw,Normal,Male,99.96,"Health and beauty",7,34.9860,734.7060,"2019-01-23 00:00:00",10:33:00,Cash,699.720,4.761904716,34.9860,6.1,Morning,Wednesday,January,Weekday
148-82-2527,C,Naypyitaw,Member,Female,12.12,"Home and lifestyle",10,6.0600,127.2600,"2019-03-05 00:00:00",13:44:00,"Credit card",121.200,4.761904716,6.0600,8.4,Afternoon,Tuesday,March,Weekday
149-14-0304,C,Naypyitaw,Member,Female,28.50,"Health and beauty",8,11.4000,239.4000,"2019-02-06 00:00:00",14:24:00,Cash,228.000,4.761904716,11.4000,6.6,Afternoon,Wednesday,February,Weekday
149-15-7606,B,Mandalay,Member,Male,37.32,"Sports and travel",9,16.7940,352.6740,"2019-03-06 00:00:00",15:31:00,Ewallet,335.880,4.761904716,16.7940,5.1,Afternoon,Wednesday,March,Weekday
149-61-1929,A,Yangon,Normal,Male,64.19,"Sports and travel",10,32.0950,673.9950,"2019-01-19 00:00:00",14:08:00,"Credit card",641.900,4.761904716,32.0950,6.7,Afternoon,Saturday,January,Weekend
149-71-6266,B,Mandalay,Member,Male,78.07,"Sports and travel",9,35.1315,737.7615,"2019-01-28 00:00:00",12:43:00,Cash,702.630,4.761904716,35.1315,4.5,Afternoon,Monday,January,Weekday
150-89-8043,A,Yangon,Normal,Male,44.65,"Sports and travel",3,6.6975,140.6475,"2019-02-14 00:00:00",15:04:00,Cash,133.950,4.761904716,6.6975,6.2,Afternoon,Thursday,February,Weekday
151-16-1484,A,Yangon,Member,Male,32.25,"Electronic accessories",4,6.4500,135.4500,"2019-02-13 00:00:00",12:38:00,Ewallet,129.000,4.761904716,6.4500,6.5,Afternoon,Wednesday,February,Weekday
151-27-8496,C,Naypyitaw,Normal,Female,56.13,"Electronic accessories",4,11.2260,235.7460,"2019-01-19 00:00:00",11:43:00,Ewallet,224.520,4.761904716,11.2260,8.6,Morning,Saturday,January,Weekend
151-33-7434,B,Mandalay,Normal,Female,67.77,"Food and beverages",1,3.3885,71.1585,"2019-02-04 00:00:00",20:43:00,"Credit card",67.770,4.761904716,3.3885,6.5,Evening,Monday,February,Weekday
152-03-4217,B,Mandalay,Normal,Female,11.28,"Home and lifestyle",9,5.0760,106.5960,"2019-03-17 00:00:00",11:55:00,"Credit card",101.520,4.761904716,5.0760,4.3,Morning,Sunday,March,Weekend
152-08-9985,B,Mandalay,Member,Male,64.36,"Health and beauty",9,28.9620,608.2020,"2019-03-12 00:00:00",12:09:00,"Credit card",579.240,4.761904716,28.9620,8.6,Afternoon,Tuesday,March,Weekday
152-68-2907,A,Yangon,Normal,Male,52.20,"Food and beverages",3,7.8300,164.4300,"2019-02-15 00:00:00",13:30:00,"Credit card",156.600,4.761904716,7.8300,9.5,Afternoon,Friday,February,Weekday
153-58-4872,C,Naypyitaw,Member,Female,74.89,"Food and beverages",4,14.9780,314.5380,"2019-03-01 00:00:00",15:32:00,Ewallet,299.560,4.761904716,14.9780,4.2,Afternoon,Friday,March,Weekday
154-74-7179,B,Mandalay,Normal,Male,54.45,"Sports and travel",1,2.7225,57.1725,"2019-02-26 00:00:00",19:24:00,Ewallet,54.450,4.761904716,2.7225,7.9,Evening,Tuesday,February,Weekday
154-87-7367,C,Naypyitaw,Normal,Male,65.26,"Home and lifestyle",8,26.1040,548.1840,"2019-03-15 00:00:00",14:04:00,Ewallet,522.080,4.761904716,26.1040,6.3,Afternoon,Friday,March,Weekday
155-45-3814,C,Naypyitaw,Member,Female,88.55,"Electronic accessories",8,35.4200,743.8200,"2019-03-19 00:00:00",15:29:00,Ewallet,708.400,4.761904716,35.4200,4.7,Afternoon,Tuesday,March,Weekday
156-20-0370,B,Mandalay,Normal,Female,25.45,"Electronic accessories",1,1.2725,26.7225,"2019-03-10 00:00:00",18:10:00,"Credit card",25.450,4.761904716,1.2725,5.1,Evening,Sunday,March,Weekend
156-95-3964,A,Yangon,Normal,Female,55.39,"Food and beverages",4,11.0780,232.6380,"2019-03-25 00:00:00",15:19:00,Ewallet,221.560,4.761904716,11.0780,8.0,Afternoon,Monday,March,Weekday
157-13-5295,A,Yangon,Member,Male,51.94,"Health and beauty",10,25.9700,545.3700,"2019-03-09 00:00:00",18:24:00,Ewallet,519.400,4.761904716,25.9700,6.5,Evening,Saturday,March,Weekend
160-22-2687,A,Yangon,Member,Female,95.95,"Health and beauty",5,23.9875,503.7375,"2019-01-23 00:00:00",14:21:00,Ewallet,479.750,4.761904716,23.9875,8.8,Afternoon,Wednesday,January,Weekday
162-48-8011,A,Yangon,Member,Female,44.59,"Food and beverages",5,11.1475,234.0975,"2019-02-10 00:00:00",15:10:00,Cash,222.950,4.761904716,11.1475,8.5,Afternoon,Sunday,February,Weekend
162-65-8559,C,Naypyitaw,Member,Male,68.98,"Food and beverages",1,3.4490,72.4290,"2019-01-21 00:00:00",20:13:00,Cash,68.980,4.761904716,3.4490,4.8,Evening,Monday,January,Weekday
163-56-7055,C,Naypyitaw,Member,Male,48.71,"Fashion accessories",1,2.4355,51.1455,"2019-03-26 00:00:00",19:20:00,Cash,48.710,4.761904716,2.4355,4.1,Evening,Tuesday,March,Weekday
166-19-2553,A,Yangon,Member,Male,89.06,"Sports and travel",6,26.7180,561.0780,"2019-01-18 00:00:00",17:26:00,Cash,534.360,4.761904716,26.7180,9.9,Evening,Friday,January,Weekday
169-52-4504,A,Yangon,Normal,Female,15.69,"Electronic accessories",3,2.3535,49.4235,"2019-03-14 00:00:00",14:13:00,"Credit card",47.070,4.761904716,2.3535,5.8,Afternoon,Thursday,March,Weekday
172-42-8274,B,Mandalay,Normal,Female,38.27,"Electronic accessories",2,3.8270,80.3670,"2019-03-02 00:00:00",18:18:00,"Credit card",76.540,4.761904716,3.8270,5.8,Evening,Saturday,March,Weekend
173-50-1108,B,Mandalay,Member,Female,20.18,"Sports and travel",4,4.0360,84.7560,"2019-02-13 00:00:00",12:14:00,"Credit card",80.720,4.761904716,4.0360,5.0,Afternoon,Wednesday,February,Weekday
173-57-2300,C,Naypyitaw,Member,Male,72.88,"Sports and travel",2,7.2880,153.0480,"2019-03-13 00:00:00",12:51:00,Cash,145.760,4.761904716,7.2880,6.1,Afternoon,Wednesday,March,Weekday
173-82-9529,B,Mandalay,Normal,Female,37.95,"Fashion accessories",10,18.9750,398.4750,"2019-01-26 00:00:00",14:51:00,Cash,379.500,4.761904716,18.9750,9.7,Afternoon,Saturday,January,Weekend
174-36-3675,C,Naypyitaw,Member,Male,99.37,"Food and beverages",2,9.9370,208.6770,"2019-02-14 00:00:00",17:29:00,Cash,198.740,4.761904716,9.9370,5.2,Evening,Thursday,February,Weekday
174-64-0215,B,Mandalay,Normal,Male,69.74,"Sports and travel",10,34.8700,732.2700,"2019-03-05 00:00:00",17:49:00,"Credit card",697.400,4.761904716,34.8700,8.9,Evening,Tuesday,March,Weekday
174-75-0888,B,Mandalay,Normal,Male,21.58,"Electronic accessories",9,9.7110,203.9310,"2019-03-14 00:00:00",12:32:00,Cash,194.220,4.761904716,9.7110,7.3,Afternoon,Thursday,March,Weekday
175-54-2529,A,Yangon,Member,Male,22.17,"Food and beverages",8,8.8680,186.2280,"2019-03-03 00:00:00",17:01:00,"Credit card",177.360,4.761904716,8.8680,9.6,Evening,Sunday,March,Weekend
176-64-7711,B,Mandalay,Normal,Male,32.32,"Food and beverages",3,4.8480,101.8080,"2019-03-27 00:00:00",19:11:00,"Credit card",96.960,4.761904716,4.8480,4.3,Evening,Wednesday,March,Weekday
176-78-1170,C,Naypyitaw,Member,Male,33.81,"Health and beauty",3,5.0715,106.5015,"2019-01-26 00:00:00",15:11:00,Ewallet,101.430,4.761904716,5.0715,7.3,Afternoon,Saturday,January,Weekend
181-82-6255,B,Mandalay,Normal,Female,16.37,"Home and lifestyle",6,4.9110,103.1310,"2019-02-08 00:00:00",10:58:00,Cash,98.220,4.761904716,4.9110,7.0,Morning,Friday,February,Weekday
181-94-6432,C,Naypyitaw,Member,Male,69.33,"Fashion accessories",2,6.9330,145.5930,"2019-02-05 00:00:00",19:05:00,Ewallet,138.660,4.761904716,6.9330,9.7,Evening,Tuesday,February,Weekday
182-52-7000,A,Yangon,Member,Female,27.04,"Sports and travel",4,5.4080,113.5680,"2019-01-01 00:00:00",20:26:00,Ewallet,108.160,4.761904716,5.4080,6.9,Evening,Tuesday,January,Weekday
182-69-8360,B,Mandalay,Normal,Female,23.65,"Electronic accessories",4,4.7300,99.3300,"2019-01-30 00:00:00",13:32:00,"Credit card",94.600,4.761904716,4.7300,4.0,Afternoon,Wednesday,January,Weekday
182-88-2763,B,Mandalay,Member,Male,79.91,"Food and beverages",3,11.9865,251.7165,"2019-03-20 00:00:00",19:28:00,"Credit card",239.730,4.761904716,11.9865,5.0,Evening,Wednesday,March,Weekday
183-21-3799,C,Naypyitaw,Normal,Female,77.63,"Electronic accessories",9,34.9335,733.6035,"2019-02-19 00:00:00",15:14:00,Ewallet,698.670,4.761904716,34.9335,7.2,Afternoon,Tuesday,February,Weekday
183-56-6882,C,Naypyitaw,Member,Female,99.42,"Food and beverages",4,19.8840,417.5640,"2019-02-06 00:00:00",10:42:00,Ewallet,397.680,4.761904716,19.8840,7.5,Morning,Wednesday,February,Weekday
186-09-3669,C,Naypyitaw,Member,Female,81.51,"Health and beauty",1,4.0755,85.5855,"2019-01-22 00:00:00",10:57:00,Ewallet,81.510,4.761904716,4.0755,9.2,Morning,Tuesday,January,Weekday
186-43-8965,A,Yangon,Member,Female,47.68,"Home and lifestyle",2,4.7680,100.1280,"2019-02-24 00:00:00",10:10:00,"Credit card",95.360,4.761904716,4.7680,4.1,Morning,Sunday,February,Weekend
186-71-5196,A,Yangon,Member,Female,79.54,"Food and beverages",2,7.9540,167.0340,"2019-03-27 00:00:00",16:30:00,Ewallet,159.080,4.761904716,7.9540,6.2,Evening,Wednesday,March,Weekday
186-79-9562,B,Mandalay,Normal,Male,71.77,"Health and beauty",7,25.1195,527.5095,"2019-03-29 00:00:00",14:06:00,Cash,502.390,4.761904716,25.1195,8.9,Afternoon,Friday,March,Weekday
187-83-5490,A,Yangon,Member,Male,20.77,"Electronic accessories",4,4.1540,87.2340,"2019-01-31 00:00:00",13:47:00,Cash,83.080,4.761904716,4.1540,4.7,Afternoon,Thursday,January,Weekday
188-55-0967,B,Mandalay,Member,Male,66.47,"Health and beauty",10,33.2350,697.9350,"2019-01-15 00:00:00",15:01:00,"Credit card",664.700,4.761904716,33.2350,5.0,Afternoon,Tuesday,January,Weekday
189-08-9157,C,Naypyitaw,Normal,Female,31.73,"Fashion accessories",9,14.2785,299.8485,"2019-01-08 00:00:00",16:17:00,"Credit card",285.570,4.761904716,14.2785,5.9,Evening,Tuesday,January,Weekday
189-17-4241,A,Yangon,Normal,Female,87.67,"Fashion accessories",2,8.7670,184.1070,"2019-03-10 00:00:00",12:17:00,"Credit card",175.340,4.761904716,8.7670,7.7,Afternoon,Sunday,March,Weekend
189-40-5216,C,Naypyitaw,Normal,Male,96.37,"Electronic accessories",7,33.7295,708.3195,"2019-01-09 00:00:00",11:40:00,Cash,674.590,4.761904716,33.7295,6.0,Morning,Wednesday,January,Weekday
189-52-0236,A,Yangon,Normal,Male,99.55,"Electronic accessories",7,34.8425,731.6925,"2019-03-14 00:00:00",12:07:00,Cash,696.850,4.761904716,34.8425,7.6,Afternoon,Thursday,March,Weekday
189-55-2313,C,Naypyitaw,Normal,Female,62.18,"Fashion accessories",10,31.0900,652.8900,"2019-01-31 00:00:00",10:33:00,Ewallet,621.800,4.761904716,31.0900,6.0,Morning,Thursday,January,Weekday
189-98-2939,C,Naypyitaw,Normal,Male,78.55,"Fashion accessories",9,35.3475,742.2975,"2019-03-01 00:00:00",13:22:00,Cash,706.950,4.761904716,35.3475,7.2,Afternoon,Friday,March,Weekday
190-14-3147,B,Mandalay,Normal,Female,17.97,"Health and beauty",4,3.5940,75.4740,"2019-02-23 00:00:00",20:43:00,Ewallet,71.880,4.761904716,3.5940,6.4,Evening,Saturday,February,Weekend
190-59-3964,B,Mandalay,Member,Male,47.16,"Food and beverages",5,11.7900,247.5900,"2019-02-03 00:00:00",14:35:00,"Credit card",235.800,4.761904716,11.7900,6.0,Afternoon,Sunday,February,Weekend
191-10-6171,B,Mandalay,Normal,Female,39.62,"Fashion accessories",7,13.8670,291.2070,"2019-01-25 00:00:00",13:18:00,Cash,277.340,4.761904716,13.8670,7.5,Afternoon,Friday,January,Weekday
191-29-0321,B,Mandalay,Member,Female,19.77,"Fashion accessories",10,9.8850,207.5850,"2019-02-27 00:00:00",18:57:00,"Credit card",197.700,4.761904716,9.8850,5.0,Evening,Wednesday,February,Weekday
192-98-7397,C,Naypyitaw,Normal,Male,12.78,"Fashion accessories",1,0.6390,13.4190,"2019-01-08 00:00:00",14:11:00,Ewallet,12.780,4.761904716,0.6390,9.5,Afternoon,Tuesday,January,Weekday
195-06-0432,A,Yangon,Member,Male,81.01,"Home and lifestyle",3,12.1515,255.1815,"2019-01-13 00:00:00",12:55:00,"Credit card",243.030,4.761904716,12.1515,9.3,Afternoon,Sunday,January,Weekend
196-01-2849,C,Naypyitaw,Member,Female,73.38,"Fashion accessories",7,25.6830,539.3430,"2019-02-10 00:00:00",13:56:00,Cash,513.660,4.761904716,25.6830,9.5,Afternoon,Sunday,February,Weekend
197-77-7132,B,Mandalay,Member,Male,91.56,"Electronic accessories",8,36.6240,769.1040,"2019-01-12 00:00:00",18:22:00,Ewallet,732.480,4.761904716,36.6240,6.0,Evening,Saturday,January,Weekend
198-66-9832,B,Mandalay,Member,Female,72.04,"Fashion accessories",2,7.2040,151.2840,"2019-02-04 00:00:00",19:38:00,Cash,144.080,4.761904716,7.2040,9.5,Evening,Monday,February,Weekday
198-84-7132,B,Mandalay,Member,Male,40.61,"Fashion accessories",9,18.2745,383.7645,"2019-01-02 00:00:00",13:40:00,Cash,365.490,4.761904716,18.2745,7.0,Afternoon,Wednesday,January,Weekday
199-75-8169,A,Yangon,Member,Male,15.81,"Sports and travel",10,7.9050,166.0050,"2019-03-06 00:00:00",12:27:00,"Credit card",158.100,4.761904716,7.9050,8.6,Afternoon,Wednesday,March,Weekday
200-16-5952,C,Naypyitaw,Member,Male,65.65,"Food and beverages",2,6.5650,137.8650,"2019-01-17 00:00:00",16:46:00,Cash,131.300,4.761904716,6.5650,6.0,Evening,Thursday,January,Weekday
200-40-6154,B,Mandalay,Member,Male,65.91,"Home and lifestyle",6,19.7730,415.2330,"2019-02-09 00:00:00",11:45:00,Cash,395.460,4.761904716,19.7730,5.7,Morning,Saturday,February,Weekend
201-63-8275,C,Naypyitaw,Member,Female,67.99,"Sports and travel",7,23.7965,499.7265,"2019-02-17 00:00:00",16:50:00,Ewallet,475.930,4.761904716,23.7965,5.7,Evening,Sunday,February,Weekend
201-86-2184,B,Mandalay,Member,Female,26.26,"Electronic accessories",7,9.1910,193.0110,"2019-02-02 00:00:00",19:40:00,Cash,183.820,4.761904716,9.1910,9.9,Evening,Saturday,February,Weekend
207-73-1363,B,Mandalay,Normal,Male,69.51,"Health and beauty",2,6.9510,145.9710,"2019-03-01 00:00:00",12:15:00,Ewallet,139.020,4.761904716,6.9510,8.1,Afternoon,Friday,March,Weekday
209-61-0206,A,Yangon,Normal,Female,42.91,"Home and lifestyle",5,10.7275,225.2775,"2019-01-05 00:00:00",17:29:00,Ewallet,214.550,4.761904716,10.7275,6.1,Evening,Saturday,January,Weekend
210-30-7976,B,Mandalay,Member,Female,22.32,"Fashion accessories",4,4.4640,93.7440,"2019-03-14 00:00:00",11:16:00,Ewallet,89.280,4.761904716,4.4640,4.1,Morning,Thursday,March,Weekday
210-57-1719,B,Mandalay,Normal,Female,58.24,"Health and beauty",9,26.2080,550.3680,"2019-02-05 00:00:00",12:34:00,Cash,524.160,4.761904716,26.2080,9.7,Afternoon,Tuesday,February,Weekday
210-67-5886,C,Naypyitaw,Member,Female,98.21,"Health and beauty",3,14.7315,309.3615,"2019-02-05 00:00:00",10:41:00,"Credit card",294.630,4.761904716,14.7315,7.8,Morning,Tuesday,February,Weekday
210-74-9613,C,Naypyitaw,Normal,Male,97.26,"Fashion accessories",4,19.4520,408.4920,"2019-03-16 00:00:00",15:33:00,Ewallet,389.040,4.761904716,19.4520,6.8,Afternoon,Saturday,March,Weekend
211-05-0490,C,Naypyitaw,Member,Female,51.92,"Electronic accessories",5,12.9800,272.5800,"2019-03-03 00:00:00",13:42:00,Cash,259.600,4.761904716,12.9800,7.5,Afternoon,Sunday,March,Weekend
211-30-9270,C,Naypyitaw,Normal,Male,17.41,"Health and beauty",5,4.3525,91.4025,"2019-01-28 00:00:00",15:16:00,"Credit card",87.050,4.761904716,4.3525,4.9,Afternoon,Monday,January,Weekday
212-62-1842,A,Yangon,Normal,Male,58.26,"Food and beverages",6,17.4780,367.0380,"2019-03-28 00:00:00",16:44:00,Cash,349.560,4.761904716,17.4780,9.9,Evening,Thursday,March,Weekday
